股票代码,当前年份,涨幅,下一年涨幅
sh603169,2014,626.0330578512397,6.538237011091658
sh603019,2014,458.1364829396326,129.4162053346754
sh601800,2014,285.8333333333333,-0.9601181683899485
sh600061,2014,264.55696202531647,2.328334648776637
sh601788,2014,260.35353535353534,-17.600574712643674
sh601390,2014,256.3218390804598,19.605695509309957
sh603011,2014,232.30016313213707,22.619623006283227
sh601016,2014,228.52564102564102,48.587570621468934
sh601186,2014,226.06837606837607,-10.133333333333331
sh601688,2014,222.39789196310932,-19.739519739519746
sh603598,2015,563.8379942140791,-63.912201420271145
sh600053,2015,558.1838565022421,-12.831188493565481
sh603318,2015,484.7710330138445,-74.07059707097258
sh603678,2015,473.84615384615387,-2.0204636705089865
sh603918,2015,454.6052631578948,-56.95664909197422
sh603718,2015,424.56676860346585,-61.72680412371135
sh603600,2015,413.2472826086956,-23.323529411764703
sh603703,2015,372.8834355828221,-48.680986017010234
sh600734,2015,371.3178294573643,-24.774193548387103
sh603227,2015,370.5718270571827,-72.80210734277247
sh601882,2016,1068.5185185185182,-51.51039623381718
sh603159,2016,712.1089808274471,-71.8513498249181
sh603779,2016,550.6024096385543,-64.60437710437711
sh603986,2016,431.41236189907426,-16.677734075701082
sh603859,2016,391.98895027624314,-60.72810411537108
sh603663,2016,380.52631578947376,-45.59613319011815
sh603528,2016,380.16164584864066,-86.76757080773265
sh603322,2016,358.8882455124494,-41.34615384615385
sh603028,2016,331.4845024469821,-61.91002949852506
sh603633,2016,321.91358024691357,-56.17868414663752
sh603690,2017,714.8594377510038,-25.478645066273938
sh603032,2017,548.267622461171,-41.06082326438664
sh603501,2017,313.1552917903067,-30.814500941619578
sh603881,2017,307.03472840605525,-46.111958179045956
sh603177,2017,301.5444015444016,-56.30052306229197
sh603505,2017,285.5287569573284,-40.9221902017291
sh601313,2017,284.0434419381788,25.054380067233538
sh603165,2017,281.5701929474385,-73.76220362622037
sh603603,2017,259.5262615859938,-57.870765727298604
sh603638,2017,250.52742616033748,-27.967866706337396
sh600776,2018,57.33882030178328,65.0554675118859
sh603345,2018,52.06611570247933,68.44343634817123
sh600763,2018,47.97381546134664,122.98825576337539
sh600132,2018,45.84717607973422,75.06738544474393
sh601888,2018,39.83739837398376,48.74581939799332
sh600810,2018,38.84297520661158,-21.492537313432845
sh900933,2018,33.59374999999999,21.637426900584803
sh600436,2018,32.22951320006105,30.19315084725679
sh600265,2018,29.990356798457103,-10.348664688427297
sh603288,2018,29.5424590472604,59.65250965250966
sh603501,2019,394.4827586206897,54.774998323385404
sh600745,2019,341.9493549928332,2.7070560116387714
sh603222,2019,296.25360230547545,-81.89658426118136
sh603986,2019,242.62541806020064,-36.40413610896005
sh600536,2019,240.57007125890735,-17.589541059512463
sh600131,2019,224.3862520458265,-31.004901960784316
sh600592,2019,189.53271028037386,-33.64944408109876
sh603360,2019,189.24731182795696,-58.100399315459214
sh603536,2019,185.48972188633616,-47.99838579499597
sh603160,2019,182.7964359150103,-28.35889145496538
sh600399,2020,339.5280235988201,58.27476038338657
sh600316,2020,330.21986353297956,-34.49417061452139
sh601633,2020,303.9130434782609,29.391350774159097
sh600882,2020,291.6323731138546,-1.7543859649122806
sh600121,2020,291.59663865546224,-47.70240700218819
sh600189,2020,279.5865633074935,-52.22772277227723
sh600532,2020,255.9366754617414,37.76119402985075
sh600988,2020,251.17647058823533,-20.744680851063833
sh601908,2020,235.17915309446252,-15.249537892791132
sh603345,2020,224.34598441206367,-11.480230458157907
sh603098,2021,474.9082007343941,-37.97802197802198
sh603032,2021,447.54433833560705,4.129093497864266
sh600071,2021,351.00788781770376,-57.50000000000001
sh600860,2021,347.72727272727263,-25.48491379310344
sh600773,2021,298.78565377012126,-30.036234677357186
sh603026,2021,276.55238095238093,-51.344227727991566
sh600338,2021,265.98639455782313,-32.36943051047506
sh600146,2021,256.43564356435644,-94.14893617021276
sh600141,2021,256.3393708293613,-17.77714771760704
sh600499,2021,255.043227665706,-36.36363636363635
sh600766,2022,217.57322175732213,4.371257485029942
sh600818,2022,191.43468950749465,-59.95323981295926
sh600734,2022,169.99266324284665,-5.44041450777202
sh603029,2022,163.67801635073224,-30.964467005076145
sh600996,2022,142.90375203915173,-44.17445482866043
sh603688,2022,117.19786308529459,-36.07064017660045
sh600992,2022,116.2734979727239,-32.096161956980175
sh600546,2022,112.36992525282132,22.020905923344962
sh601007,2022,108.10810810810811,-29.308836395450566
sh600056,2022,103.59210681791329,-35.47082611207394
sh603178,2023,371.9959266802444,-46.45999162128195
sh600630,2023,165.82278481012654,-31.541218637992824
sh600605,2023,165.4875717017208,8.518383691299599
sh603729,2023,146.14243323442136,-47.943485086342235
sh603009,2023,141.5309446254072,30.670277589708878
sh600178,2023,140.74675324675326,-29.097222222222218
sh601595,2023,133.9673913043478,2.4809160305343596
sh603918,2023,130.8641975308642,-27.26769911504424
sh603615,2023,130.0751879699248,-20.271800679501702
sh603266,2023,126.65615141955836,-31.62299854439593
