股票代码,当前年份,涨幅,下一年涨幅
sz300406,2014,273.1813773035887,-36.32165172507471
sz300401,2014,248.66204162537167,-16.69098336737672
sz002673,2014,245.16129032258064,-12.728719172633266
sz300162,2014,239.59975742874474,-52.65873015873016
sz000728,2014,234.08360128617366,-25.95870206489676
sz300399,2014,223.89819987585352,15.966907962771456
sz300033,2014,215.65762004175366,55.81140350877192
sz300390,2014,202.37704918032787,22.461368653421633
sz300400,2014,194.05850091407683,58.33605220228386
sz002544,2014,185.8316221765914,17.658730158730158
sz300364,2015,1714.4750254842,-75.34332084893882
sz300431,2015,832.1984435797665,-56.37036334313632
sz300446,2015,804.7880690737834,-64.4303065355697
sz300451,2015,767.7563150074294,-76.54258355000316
sz300469,2015,741.164383561644,-27.431466570161955
sz000025,2015,722.3529411764706,-26.78500463637567
sz002747,2015,627.0684371807969,-49.16627707651551
sz002751,2015,611.7296222664015,-51.89323401613905
sz300437,2015,597.6912928759895,-30.103092783505158
sz300479,2015,583.6798991808444,-73.81464413722479
sz300556,2016,681.4536340852129,-65.77862353314305
sz300531,2016,656.2370062370063,-88.97079276773296
sz002806,2016,596.528555431131,-62.32441471571906
sz002819,2016,564.4257703081232,-44.39692044482463
sz300503,2016,512.6798561151079,-81.10338835794961
sz002805,2016,500.47904191616766,-42.296310909449595
sz002800,2016,476.82596934174927,-53.36416529911979
sz300513,2016,464.59443457667254,-61.081333022605456
sz002803,2016,464.44929116684835,-15.040421131791689
sz300520,2016,427.4360746371803,-65.7209483093665
sz300618,2017,1214.94701617401,-68.22646365001071
sz300666,2017,935.4790419161677,-40.29764484901025
sz300601,2017,896.8354430379745,-24.339183759780074
sz300603,2017,449.31297709923655,-34.558420186505764
sz300630,2017,362.59818731117826,-38.91584638846526
sz300604,2017,333.26345213137665,-50.276243093922645
sz300629,2017,326.2583892617449,-66.92456479690522
sz300657,2017,326.09472743521,-39.80140670252379
sz002840,2017,321.63308589607635,-67.2759138708062
sz300176,2017,319.9483537766301,-71.0109435983776
sz300253,2018,82.96622613803233,24.10936205468103
sz002607,2018,78.21782178217822,143.92905866302863
sz300107,2018,76.92307692307692,-20.81109925293489
sz300550,2018,67.296,-40.765143464399564
sz000860,2018,66.52741514360315,68.46818036456668
sz002243,2018,64.71990464839094,-1.315789473684206
sz300596,2018,64.54352441613588,31.577060931899652
sz000622,2018,59.78723404255318,-36.569148936170215
sz002399,2018,50.45691906005222,-7.006673021925638
sz300012,2018,48.19004524886878,129.73805855161785
sz300552,2019,480.86717136958026,-51.45411460577337
sz300598,2019,460.02673796791447,-38.86499311189348
sz300223,2019,376.75054704595186,2.4497134509495524
sz002552,2019,368.5873605947956,-49.75369458128079
sz002351,2019,359.18367346938777,-47.313131313131315
sz300573,2019,341.3959085439229,25.272244355909695
sz002600,2019,337.49999999999994,6.483126110124338
sz002291,2019,336.1419068736143,-25.32347504621072
sz300220,2019,299.59100204498975,-52.62215400358148
sz300661,2019,279.8976828167319,-54.64689649811497
sz300274,2020,544.8522829006267,86.92584039004363
sz000799,2020,331.22059230556323,23.94284047827356
sz002791,2020,327.6982707215265,23.070145713317515
sz002594,2020,303.0558438862362,29.76981007879504
sz300313,2020,293.8517179023508,-65.06133575647432
sz300390,2020,273.2503888024883,208.54733614411649
sz002163,2020,273.08377896613194,-44.047619047619044
sz000733,2020,233.90216154721278,99.74284795885568
sz300151,2020,210.86206896551727,48.106928532460444
sz002245,2020,210.36144578313252,104.01486988847586
sz200761,2021,870.7070707070706,-21.90669371196754
sz000422,2021,578.6624203821656,-27.714987714987714
sz002432,2021,473.85843408850803,-0.15042881981752826
sz300343,2021,473.063973063973,-40.11056511056512
sz002176,2021,429.59183673469397,-11.241098677517806
sz000408,2021,418.33122629582806,-32.15778474399165
sz002374,2021,369.82758620689657,-51.04253544620517
sz000980,2021,366.9117647058823,-36.13193403298351
sz002356,2021,365.7657657657657,11.663479923518153
sz002147,2021,357.1428571428571,-92.27557411273486
sz002868,2022,366.11062335381916,-61.32435874113151
sz000721,2022,312.88782816229116,-30.73510773130545
sz002866,2022,262.1044303797469,-51.76176403728121
sz002336,2022,260.0767754318618,-35.12596899224806
sz002150,2022,226.3910969793323,-16.241737488196417
sz002528,2022,200.80428954423596,-34.19773095623987
sz002875,2022,179.66101694915255,-44.85185185185185
sz000736,2022,176.81607418856262,-46.41488779419814
sz002761,2022,173.76623376623374,-51.80836073273838
sz000756,2022,169.95515695067266,-34.151857835218095
sz002855,2023,359.7799511002445,-36.794520547945204
sz000628,2023,333.5078534031413,9.820889514992961
sz300114,2023,314.2992424242424,-8.372827804107425
sz002229,2023,300.57636887608066,-32.71306289542241
sz300308,2023,298.9752650176678,59.388843685019445
sz300045,2023,262.59314456035764,-14.774696707105706
sz000766,2023,261.2318840579711,-17.936991869918707
sz300394,2023,250.11476664116293,51.144444444444446
sz300210,2023,227.90697674418604,10.98790322580645
sz300606,2023,185.6187290969899,-44.79136270790779
