,symbol,name,engname,tradetype,lasttrade,prevclose,open,high,low,volume,amount,ticktime,buy,sell,pricechange,changepercent
583,00731,建发新胜,C&D NEWIN,EQTY,0.169,0.159,0.160,0.169,0.159,1585000,254230,2024-06-13 16:08:15,0.160,0.170,0.010,6.2893082
584,00732,信利国际,TRULY INT'L,EQTY,0.910,0.890,0.900,0.910,0.890,1696000,1532320,2024-06-13 16:08:15,0.900,0.910,0.020,2.2471910
585,00733,合富辉煌,HOPEFLUENT,EQTY,0.700,0.700,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,0.610,0.700,0.000,0.0000000
586,00736,中国置业投资,CHINA PPT INV,EQTY,0.130,0.130,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,0.076,0.137,0.000,0.0000000
587,00737,湾区发展,BAY AREA DEV,EQTY,1.780,1.800,1.800,1.810,1.770,135500,243275,2024-06-13 16:08:15,1.780,1.810,-0.020,-1.1111111
588,00738,莱尔斯丹,LE SAUNDA,EQTY,0.455,0.465,0.460,0.460,0.455,50000,22760,2024-06-13 16:08:15,0.450,0.485,-0.010,-2.1505376
589,00743,亚洲水泥(中国),ASIA CEMENT CH,EQTY,2.880,2.880,2.880,2.890,2.870,1963000,5653955,2024-06-13 16:08:15,2.870,2.880,0.000,0.0000000
590,00745,中国国家文化产业,CN CULTURE GP,EQTY,0.170,0.170,0.000,0.000,0.000,400,63,2024-06-13 16:08:15,0.120,0.170,0.000,0.0000000
591,00746,理文化工,L & M CHEMICAL,EQTY,3.920,3.910,3.940,3.940,3.900,26000,101740,2024-06-13 16:08:15,3.920,3.930,0.010,0.2557545
592,00747,沈阳公用发展股份,SHENYANG PUBLIC,EQTY,0.057,0.064,0.073,0.073,0.056,8560000,521246,2024-06-13 16:08:15,0.057,0.060,-0.007,-10.9375000
593,00750,水发兴业能源,SFSY ENERGY,EQTY,0.340,0.350,0.350,0.350,0.340,260000,89870,2024-06-13 16:08:15,0.340,0.345,-0.010,-2.8571429
594,00751,创维集团,SKYWORTH GROUP,EQTY,3.050,3.060,3.080,3.100,3.010,7892000,24097140,2024-06-13 16:08:15,3.050,3.060,-0.010,-0.3267974
595,00752,PICO FAR EAST,PICO FAR EAST,EQTY,1.680,1.680,1.670,1.680,1.660,406232,677914,2024-06-13 16:08:15,1.660,1.680,0.000,0.0000000
