序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
11,300073,当升科技,52.37,18.22,8.07,862756.0,4214271647.98,19.62,53.0,44.31,45.0,44.3,1.78,17.07,13.78,2.03,26525445534.0,26465901420.0,-0.04,1.26,42.31,37.09
12,300019,硅宝科技,17.26,17.1,2.52,359147.0,596209188.43,16.62,17.35,14.9,14.93,14.74,2.62,10.45,21.42,2.77,6749776722.0,5930575888.0,-0.06,-0.4,5.57,4.54
13,688005,容百科技,37.0,16.21,5.16,381273.0,1333160264.0,17.68,37.25,31.62,31.71,31.84,2.11,12.09,30.21,2.06,17916272756.0,11671754784.0,0.0,-0.46,-1.33,-7.04
14,688388,嘉元科技,17.09,15.94,2.35,189032.0,311488199.0,13.7,17.22,15.2,15.3,14.74,4.31,4.59,366.45,1.02,7284408223.0,7037748424.0,0.0,-0.06,-10.76,-15.73
15,688499,利元亨,36.42,15.77,4.96,126098.0,429703831.0,17.04,36.48,31.12,31.12,31.46,1.65,21.7,-23.95,1.86,4502470829.0,2116280759.0,0.08,1.73,1.76,-4.36
16,300690,双一科技,23.72,14.53,3.01,318714.0,743373550.9,15.89,24.51,21.22,21.22,20.71,1.19,29.08,42.39,2.8,3922076359.0,2599483173.0,-0.21,-0.25,31.41,26.44
17,300641,正丹股份,4.98,12.42,0.55,161432.0,77375876.59,13.77,5.05,4.44,4.45,4.43,2.17,3.3,67.6,1.63,2438233493.0,2437821522.0,-0.2,0.0,-13.54,-11.7
18,300490,华自科技,10.26,12.38,1.13,474743.0,473286721.61,15.66,10.52,9.09,9.09,9.13,2.45,12.21,129.55,1.37,4065135879.0,3989952313.0,-0.29,-0.29,-9.04,-11.63
19,301326,捷邦科技,29.05,11.73,3.05,34859.0,100094086.04,14.54,29.77,25.99,26.0,26.0,2.06,12.97,-96.23,1.54,2097201653.0,780729440.0,-0.07,0.03,-24.45,-27.57
20,832522,纳科诺尔,20.2,11.73,2.12,68229.0,133532318.52,13.27,20.5,18.1,18.1,18.08,1.06,13.48,12.39,2.11,1886074000.0,1022109900.0,-0.88,0.25,-11.83,-11.25
21,688646,逸飞激光,34.9,11.32,3.55,29549.0,99653345.0,12.41,35.0,31.11,31.12,31.35,1.79,15.53,32.43,1.99,3321175019.0,664235018.0,0.09,0.26,-2.21,-4.75
22,300438,鹏辉能源,30.07,11.04,2.99,581257.0,1704660331.55,12.22,30.44,27.13,27.18,27.08,1.16,14.41,41.34,2.68,15138360333.0,12129646553.0,0.03,-0.23,11.12,6.29
23,873305,九菱科技,18.63,10.89,1.83,33852.0,61320264.72,22.68,20.01,16.2,16.78,16.8,4.2,30.18,23.84,2.68,834977970.0,208942287.0,0.05,-1.17,-16.53,-12.7
24,300904,威力传动,53.8,10.88,5.28,40084.0,213506929.84,14.69,56.6,49.47,49.5,48.52,1.57,22.15,94.52,4.62,3894217882.0,973564800.0,-0.13,-0.04,-13.02,-15.3
25,300586,美联新材,8.0,10.8,0.78,389193.0,298891514.68,12.33,8.0,7.11,7.18,7.22,1.13,7.28,42.32,2.97,5689733160.0,4278877744.0,0.25,0.5,1.91,-1.11
26,300467,迅游科技,14.22,10.75,1.38,139914.0,193800836.68,16.36,14.98,12.88,12.99,12.84,2.97,8.44,72.29,4.67,2889573635.0,2357875208.0,0.21,0.28,-15.71,-18.18
27,835237,力佳科技,15.08,10.64,1.45,12671.0,18618731.6,13.87,15.46,13.57,13.81,13.63,2.18,3.68,17.38,1.75,775413600.0,518564073.0,0.0,0.53,-14.17,-12.93
28,688185,康希诺,53.98,10.64,5.19,30298.0,158988380.0,12.61,54.81,48.66,48.98,48.79,2.16,2.64,-9.01,2.53,13357345548.0,6195770366.0,0.02,-0.02,-24.44,-27.56
29,300340,科恒股份,9.84,10.31,0.92,215114.0,208656322.13,14.91,10.26,8.93,9.0,8.92,2.23,11.48,-21.25,3.85,2722039397.0,1843850009.0,0.0,0.1,-17.1,-19.34
30,688116,天奈科技,26.1,10.13,2.4,176980.0,446621402.0,11.98,26.11,23.27,23.27,23.7,1.55,5.14,30.69,3.33,8993085583.0,8993085583.0,0.0,0.35,-4.81,-10.12
31,600067,冠城大通,2.18,10.1,0.2,546162.0,114939222.0,10.1,2.18,1.98,1.98,1.98,4.06,3.92,-16.34,0.44,3033837851.0,3033837851.0,0.0,0.0,-13.83,-13.15
32,603335,迪生力,5.56,10.1,0.51,159475.0,86255932.0,12.28,5.56,4.94,4.95,5.05,1.68,3.72,-16.0,5.92,2380483976.0,2380483976.0,0.0,0.0,-17.01,-17.14
33,002455,百川股份,6.0,10.09,0.55,176121.0,101377216.08,10.46,6.0,5.43,5.43,5.45,1.83,3.48,-42.77,1.73,3559031778.0,3039154416.0,0.0,0.0,-19.14,-19.14
34,605366,宏柏新材,7.77,10.06,0.71,64457.0,49707964.0,4.53,7.77,7.45,7.48,7.06,0.83,1.06,69.21,2.41,4757611000.0,4710265872.0,0.0,0.0,-5.93,-6.05
35,002295,精艺股份,7.77,10.06,0.71,409271.0,295694381.97,14.59,7.77,6.74,6.99,7.06,1.14,16.35,51.86,1.46,1947286320.0,1944784380.0,0.0,0.0,-6.5,-4.9
36,603900,莱绅通灵,8.21,10.05,0.75,349062.0,284564036.0,3.75,8.21,7.93,8.15,7.46,2.76,10.25,-110.21,1.3,2833466726.0,2795290226.0,0.0,0.0,18.81,22.9
37,603963,大理药业,10.3,10.04,0.94,227997.0,230431198.0,8.97,10.3,9.46,9.49,9.36,1.2,10.38,-110.29,5.87,2262910000.0,2262910000.0,0.0,0.0,-14.1,-13.3
38,600822,上海物贸,11.19,10.03,1.02,447386.0,477470505.0,10.91,11.19,10.08,10.17,10.17,3.07,11.29,32.33,4.86,5549936908.0,4432895091.0,0.0,0.0,12.12,10.46
39,600793,宜宾纸业,11.3,10.03,1.03,56700.0,62663953.0,9.44,11.3,10.33,10.36,10.27,1.58,3.21,-25.2,3.34,1999015223.0,1999015223.0,0.0,0.0,-5.68,-2.75
40,605007,五洲特纸,16.13,10.03,1.47,109438.0,175446129.0,3.89,16.13,15.56,15.56,14.66,5.73,2.73,23.88,2.88,6514865933.0,6461007863.0,0.0,0.0,9.8,9.65
41,600765,中航重机,16.24,10.03,1.48,838421.0,1343303691.0,7.38,16.24,15.15,15.17,14.76,4.48,5.71,18.11,2.07,24060303987.0,23851340350.0,0.0,0.0,-11.01,-15.02
42,002956,西麦食品,13.94,10.02,1.27,112537.0,153158161.76,10.5,13.94,12.61,12.61,12.67,3.68,5.06,25.23,2.15,3112490706.0,3101252222.0,0.0,0.0,-2.59,-2.72
43,603200,上海洗霸,24.37,10.02,2.22,94584.0,224033661.0,8.44,24.37,22.5,22.5,22.15,0.66,5.39,109.64,4.58,4273026125.0,4273026125.0,0.0,0.0,14.84,14.47
44,002066,瑞泰科技,9.88,10.02,0.9,94831.0,88963346.28,10.91,9.88,8.9,8.9,8.98,1.63,4.11,31.35,3.34,2282280000.0,2282280000.0,0.0,0.0,-13.26,-11.07
45,603139,康惠制药,16.8,10.02,1.53,71282.0,116239563.0,12.44,16.8,14.9,15.19,15.27,2.11,7.14,136.47,1.71,1677984000.0,1677984000.0,0.0,0.0,-13.45,-10.5
46,605122,四方新材,12.41,10.02,1.13,31673.0,38273576.0,9.84,12.41,11.3,11.3,11.28,1.73,5.4,316.28,0.97,2138913140.0,728144340.0,0.0,0.0,-25.15,-23.06
47,001376,百通能源,20.54,10.02,1.87,133497.0,268676187.82,6.0,20.54,19.42,19.42,18.67,2.39,28.96,72.09,10.0,9466886000.0,946688600.0,0.0,0.0,-12.11,-7.73
48,002718,友邦吊顶,13.95,10.02,1.27,44911.0,60417535.0,10.96,13.95,12.56,12.81,12.68,2.46,6.89,19.43,1.69,1833697215.0,909652381.0,0.0,0.0,-19.36,-17.99
49,001301,尚太科技,37.14,10.01,3.38,87648.0,315531175.06,9.77,37.14,33.84,33.84,33.76,1.45,5.68,12.79,1.76,9684277284.0,5731429944.0,0.0,0.0,8.37,1.42
50,605376,博迁新材,20.99,10.01,1.91,24459.0,50118808.0,9.64,20.99,19.15,19.15,19.08,0.73,0.93,320.64,3.38,5490984000.0,5490984000.0,0.0,0.0,-22.29,-25.57
51,603026,胜华新材,45.97,10.0,4.18,102905.0,450685699.0,11.89,45.97,41.0,41.37,41.79,1.85,5.08,99.56,2.36,9317199600.0,9317199600.0,0.0,0.0,5.8,0.24
52,603663,三祥新材,20.24,10.0,1.84,750593.0,1476456438.0,10.6,20.24,18.29,18.29,18.4,1.39,17.76,78.55,6.76,8582121608.0,8555463099.0,0.0,0.0,86.72,84.17
53,600768,宁波富邦,11.66,10.0,1.06,250685.0,280876172.0,15.47,11.66,10.02,10.25,10.6,2.62,18.74,1782.4,3.97,1559492352.0,1559492352.0,0.0,0.0,-3.64,-1.6
54,003029,吉大正元,18.7,10.0,1.7,124669.0,228577500.0,12.94,18.7,16.5,16.65,17.0,1.4,7.3,-33.02,2.55,3663618485.0,3195653117.0,0.0,0.0,-13.39,-5.12
55,002942,新农股份,14.08,10.0,1.28,11202.0,15772134.4,0.0,14.08,14.08,14.08,12.8,0.3,0.8,-86.56,1.96,2196480000.0,1968114720.0,0.0,0.0,-27.16,-28.35
56,002759,天际股份,11.33,10.0,1.03,137628.0,150646323.46,9.9,11.33,10.31,10.31,10.3,2.01,3.4,156.03,1.23,5716920915.0,4589126483.0,0.0,0.0,6.79,6.79
57,002348,高乐股份,3.52,10.0,0.32,241745.0,82502303.75,10.31,3.52,3.19,3.2,3.2,1.47,2.72,-103.23,6.04,3334144000.0,3129198508.0,0.0,0.0,-9.97,-8.57
58,001380,华纬科技,30.25,10.0,2.75,59928.0,180496971.47,4.55,30.25,29.0,29.35,27.5,1.59,18.6,23.76,2.58,3898620000.0,974655000.0,0.0,0.0,-9.89,-13.17
59,000888,峨眉山Ａ,11.66,10.0,1.06,449771.0,515536415.09,11.04,11.66,10.49,10.5,10.6,3.1,8.54,26.99,2.47,6143806769.0,6143806769.0,0.0,0.0,22.09,30.57
60,001359,平安电工,31.14,10.0,2.83,306873.0,921754735.84,11.09,31.14,28.0,28.31,28.31,1.49,67.52,35.08,3.46,5776568558.0,1415265823.0,0.0,0.0,79.07,79.07
61,002709,天赐材料,25.31,10.0,2.3,793037.0,1930896620.85,10.91,25.31,22.8,22.8,23.01,1.1,5.73,25.76,3.7,48700413316.0,35054742912.0,0.0,0.0,6.97,0.92
62,002805,丰元股份,14.75,9.99,1.34,99340.0,143900052.12,9.62,14.75,13.46,13.46,13.41,0.38,4.61,-20.67,1.8,4130921993.0,3179359963.0,0.0,0.0,-3.02,-7.7
63,603813,原尚股份,13.87,9.99,1.26,42730.0,58595800.0,12.85,13.87,12.25,12.25,12.61,0.99,4.75,-184.08,2.15,1456558050.0,1247495540.0,0.0,0.0,-18.36,-14.12
64,603988,中电电机,13.76,9.99,1.25,99693.0,137177499.0,0.0,13.76,13.76,13.76,12.51,2.19,4.24,74.9,4.87,3236352000.0,3236352000.0,0.0,0.0,19.76,21.02
65,603595,东尼电子,22.57,9.99,2.05,27610.0,60832172.0,9.36,22.57,20.65,20.66,20.52,1.22,1.19,-75.42,2.46,5246223298.0,5246223298.0,0.0,0.0,-36.74,-38.65
66,002861,瀛通通讯,11.01,9.99,1.0,55779.0,60808375.52,9.39,11.01,10.07,10.07,10.01,0.48,4.67,-44.05,1.94,1712635711.0,1315002823.0,0.0,0.0,-22.9,-25.71
67,603906,龙蟠科技,10.69,9.98,0.97,265928.0,280271600.0,10.19,10.69,9.7,9.74,9.72,2.14,4.71,-6.23,1.52,6040693473.0,6040693473.0,0.0,0.0,-11.14,-14.21
68,603127,昭衍新药,18.96,9.98,1.72,190461.0,345610557.0,10.9,18.96,17.08,17.23,17.24,1.6,3.02,35.81,1.72,14217889733.0,11953941147.0,0.0,0.0,-17.24,-20.03
69,000590,启迪药业,7.94,9.97,0.72,119874.0,92051312.0,10.94,7.94,7.15,7.2,7.22,1.89,5.01,75.31,2.63,1901401860.0,1900647242.0,0.0,0.0,-14.62,-11.38
70,600392,盛和资源,11.8,9.97,1.07,827214.0,929496466.0,11.65,11.8,10.55,10.62,10.73,1.31,4.72,98.06,2.34,20683353526.0,20683353526.0,0.0,0.0,19.07,15.91
71,002341,新纶新材,3.86,9.97,0.35,969128.0,361055650.91,11.68,3.86,3.45,3.45,3.51,1.39,8.42,-10.32,5.31,4447548325.0,4442005269.0,0.0,0.0,10.92,10.6
72,605399,晨光新材,14.12,9.97,1.28,82815.0,115038694.0,8.8,14.12,12.99,12.99,12.84,1.11,2.66,43.52,2.03,4425459054.0,4403712700.0,0.0,0.0,6.97,4.13
73,001217,华尔泰,13.02,9.97,1.18,347021.0,447365751.46,9.97,13.02,11.84,11.84,11.84,1.42,26.11,32.5,2.02,4320947400.0,1730732976.0,0.0,0.0,-24.3,-7.79
74,002846,英联股份,9.6,9.97,0.87,154831.0,145310316.26,10.31,9.6,8.7,8.7,8.73,0.74,6.02,777.19,2.81,4031938906.0,2467373722.0,0.0,0.0,-8.22,-12.33
75,600210,紫江企业,6.07,9.96,0.55,896925.0,527952872.0,11.05,6.07,5.46,5.49,5.52,1.74,5.91,16.45,1.6,9206588479.0,9206588479.0,0.0,0.0,28.87,29.15
76,002806,华锋股份,10.16,9.96,0.92,115999.0,113906498.57,10.39,10.16,9.2,9.2,9.24,2.07,7.64,-28.28,1.76,1931963207.0,1542089931.0,0.0,0.0,-24.24,-25.73
77,002679,福建金森,10.16,9.96,0.92,84308.0,82982746.84,10.5,10.16,9.19,9.25,9.24,2.79,3.58,-66.8,3.3,2395280960.0,2395280960.0,0.0,0.0,-25.57,-17.6
78,002734,利民股份,7.51,9.96,0.68,74064.0,55339113.36,9.37,7.51,6.87,6.87,6.83,0.59,2.28,93.94,1.07,2755096573.0,2439269133.0,0.0,0.0,-8.08,-5.77
79,002196,方正电机,6.3,9.95,0.57,302685.0,185717376.94,9.08,6.3,5.78,5.83,5.73,1.52,6.27,27.08,2.29,3135320559.0,3039725701.0,0.0,0.0,-11.76,-12.26
80,002167,东方锆业,9.3,9.93,0.84,2687032.0,2365322538.29,13.59,9.31,8.16,8.17,8.46,2.1,39.18,-715.83,4.77,7206593250.0,6377886181.0,-0.11,0.0,45.54,44.63
81,600816,建元信托,2.88,9.92,0.26,264267.0,73610273.0,9.92,2.88,2.62,2.62,2.62,1.39,0.5,618.33,2.2,28352010972.0,15335845548.0,0.0,0.0,2.49,0.35
82,600094,大名城,4.1,9.92,0.37,1238969.0,494478874.0,9.65,4.1,3.74,3.83,3.73,3.43,5.44,11.79,0.78,10148832734.0,9334080344.0,0.0,0.0,37.12,36.67
83,600858,银座股份,5.1,9.91,0.46,395271.0,193630508.0,11.85,5.1,4.55,4.62,4.64,3.43,7.64,12.24,1.02,2652339604.0,2639494948.0,0.0,0.0,-7.61,-4.14
84,000612,焦作万方,7.65,9.91,0.69,1816728.0,1369389302.01,8.05,7.66,7.1,7.1,6.96,2.16,15.25,15.38,1.57,9120325364.0,9114364102.0,-0.13,0.0,32.35,33.04
85,688146,中船特气,30.75,9.86,2.76,92312.0,275369674.0,12.47,31.15,27.66,28.1,27.99,3.97,14.53,48.62,3.06,16279411774.0,1953529419.0,0.59,0.75,-6.25,-9.59
86,688602,康鹏科技,9.21,9.77,0.82,150663.0,133791106.0,11.8,9.27,8.28,8.29,8.39,2.48,16.52,42.44,1.73,4783443750.0,839704748.0,0.0,0.11,-14.09,-17.99
87,000949,新乡化纤,4.15,9.5,0.36,1345026.0,545285802.71,12.14,4.17,3.71,3.76,3.79,2.14,9.58,-144.4,1.12,6086920279.0,5824161116.0,-0.24,-0.24,24.62,28.48
88,688518,联赢激光,15.74,9.46,1.36,265154.0,405844008.0,10.92,15.87,14.3,14.37,14.38,2.07,7.82,18.37,1.77,5336519427.0,5336519427.0,0.19,0.0,-15.96,-23.14
89,000558,莱茵体育,3.02,9.42,0.26,1596923.0,473078998.84,10.87,3.04,2.74,2.74,2.76,5.58,12.39,-142.87,3.57,3893456326.0,3891827516.0,0.0,-0.33,-2.89,3.07
90,300115,长盈精密,10.58,9.3,0.9,894163.0,944779486.32,8.68,11.07,10.23,10.88,9.68,5.08,7.45,148.62,2.19,12737067942.0,12695573478.0,0.0,0.09,-12.27,-20.15
91,839790,联迪信息,8.56,9.04,0.71,24862.0,20884083.6,9.81,8.62,7.85,7.94,7.85,1.81,6.99,61.81,2.01,675957691.0,304325103.0,-0.23,0.0,-35.64,-29.02
92,002882,金龙羽,20.59,8.94,1.69,435712.0,861149525.28,13.23,20.6,18.1,18.2,18.9,1.0,17.67,38.27,4.24,8913411000.0,5075949750.0,0.0,0.15,40.35,37.27
93,300648,星云股份,23.55,8.78,1.9,92801.0,212484206.37,8.68,23.63,21.75,21.81,21.65,0.78,9.74,-32.01,3.55,3480310751.0,2243497862.0,0.17,0.43,-8.86,-11.6
94,300919,中伟股份,58.45,8.66,4.66,96562.0,551167737.04,11.25,59.75,53.7,53.84,53.79,1.81,1.45,21.18,2.11,39151218820.0,38874494543.0,0.07,0.09,21.95,18.97
95,301257,普蕊斯,51.96,8.43,4.04,19287.0,95927179.57,12.48,52.41,46.43,48.26,47.92,2.33,5.33,23.62,3.06,3177873600.0,1880377322.0,-0.04,0.02,-15.14,-18.17
96,002723,小崧股份,9.05,8.38,0.7,114609.0,101018351.49,9.22,9.08,8.31,8.31,8.35,2.28,3.69,191.98,2.29,2877962228.0,2810474876.0,0.11,0.22,-12.31,-11.53
97,002407,多氟多,16.3,8.31,1.25,857953.0,1354091266.92,9.9,16.33,14.84,14.88,15.05,1.62,7.92,38.16,2.09,19453863838.0,17662791427.0,0.06,0.49,12.03,7.1
98,688002,睿创微纳,32.0,8.29,2.45,261005.0,805504572.0,9.0,32.32,29.66,29.84,29.55,4.16,5.84,28.62,2.98,14313730528.0,14313730528.0,-0.31,0.0,-24.04,-27.63
99,688247,宣泰医药,8.91,8.26,0.68,38843.0,34067900.0,11.06,9.17,8.26,8.26,8.23,2.61,2.77,66.72,3.34,4039259400.0,1247886486.0,0.0,-0.11,-18.48,-18.85
100,300347,泰格医药,56.92,8.23,4.33,263806.0,1446763146.75,10.29,57.25,51.84,52.54,52.59,1.6,4.57,24.52,2.36,49658045082.0,32877354922.0,-0.04,0.07,12.89,3.55
101,688302,海创药业-U,30.24,8.19,2.29,23689.0,69112811.0,10.81,30.45,27.43,27.95,27.95,1.37,3.3,-10.17,2.19,2994231684.0,2169237944.0,0.33,-0.33,-41.78,-41.92
102,301469,恒达新材,28.44,8.18,2.15,41252.0,116206090.03,10.76,29.22,26.39,26.39,26.29,1.93,18.79,27.19,1.89,2544811200.0,624540694.0,-0.11,-0.25,-15.56,-15.83
103,301358,湖南裕能,37.55,8.15,2.83,165156.0,601439032.16,8.7,37.56,34.54,34.54,34.72,1.44,4.31,13.83,2.53,28434852779.0,14397914632.0,0.11,0.16,17.16,10.6
104,300489,光智科技,20.97,8.15,1.58,102391.0,221609329.98,14.49,23.27,20.46,20.48,19.39,1.93,7.5,-16.13,15.11,2886999350.0,2861701058.0,0.1,1.3,4.85,3.61
105,603659,璞泰来,22.18,8.04,1.65,378685.0,816687565.0,11.54,22.57,20.2,20.3,20.53,1.45,1.88,21.83,2.7,47420250633.0,44684083558.0,0.0,0.14,11.4,5.97
106,301487,盟固利,35.08,8.0,2.6,135831.0,468620463.87,8.9,35.27,32.38,32.49,32.48,3.02,23.42,201.02,8.13,16123344645.0,2034640000.0,0.03,0.23,-11.55,-16.77
107,688085,三友医疗,17.07,7.97,1.26,28635.0,47922539.0,9.42,17.28,15.79,15.82,15.81,1.86,1.15,46.49,2.22,4241101842.0,4241101842.0,0.06,0.0,-5.9,-12.46
108,688567,孚能科技,12.91,7.85,0.94,226983.0,288752451.0,10.03,13.05,11.85,11.88,11.97,1.57,1.86,-8.89,1.52,15777361155.0,15777361155.0,0.0,0.47,-16.06,-20.85
109,301296,新巨丰,9.12,7.8,0.66,54820.0,48663235.37,8.04,9.17,8.49,8.49,8.46,1.57,2.02,25.78,1.53,3830400000.0,2477716611.0,0.22,-0.11,-11.02,-11.46
110,688560,明冠新材,14.3,7.76,1.03,104047.0,145051308.0,11.53,14.49,12.96,13.04,13.27,1.7,5.17,-120.57,1.0,2878617427.0,2878617427.0,-0.14,0.21,-18.43,-23.2
111,605183,确成股份,14.61,7.74,1.05,66921.0,96523972.0,10.32,14.9,13.5,13.57,13.56,3.68,1.61,14.99,2.13,6098168709.0,6076052748.0,0.07,0.0,-1.35,-0.14
112,836433,大唐药业,5.02,7.73,0.36,58838.0,28909987.84,10.3,5.11,4.63,4.69,4.66,1.81,3.48,163.86,2.66,1299061449.0,849046079.0,0.0,0.2,-25.41,-16.33
113,300991,创益通,15.54,7.69,1.11,121792.0,189434885.42,7.21,16.14,15.1,15.17,14.43,1.34,18.63,197.89,3.5,2237760000.0,1015943040.0,0.06,0.45,-9.12,-10.59
114,688353,华盛锂电,26.25,7.67,1.87,23239.0,60069030.0,8.9,26.38,24.21,24.31,24.38,2.06,3.79,-171.98,1.12,4186875000.0,1609030316.0,0.0,-0.15,-0.72,-4.2
115,688133,泰坦科技,31.36,7.66,2.23,20224.0,61567838.0,8.0,31.4,29.07,29.13,29.13,1.92,1.71,50.84,1.32,3699520353.0,3699520353.0,0.06,0.16,-30.82,-32.34
116,300771,智莱科技,9.47,7.61,0.67,168845.0,158972278.82,7.5,9.62,8.96,9.02,8.8,1.06,9.32,92.61,1.16,2272800000.0,1715955837.0,0.0,0.0,-13.91,-12.88
117,688707,振华新材,14.56,7.61,1.03,120884.0,173316057.0,9.46,14.77,13.49,13.49,13.53,1.74,4.27,72.15,1.49,7407898025.0,4122926051.0,0.14,0.14,-25.18,-28.98
118,603260,合盛硅业,53.44,7.59,3.77,57667.0,300964831.0,9.22,53.98,49.4,49.48,49.67,2.53,0.54,21.69,1.97,63177138927.0,57403408435.0,0.0,0.04,5.86,4.78
119,605060,联德股份,17.25,7.54,1.21,25139.0,42219497.0,9.04,17.4,15.95,15.96,16.04,1.41,1.05,16.56,1.85,4161666000.0,4140000000.0,-0.29,-0.23,-6.81,-7.75
120,831627,力王股份,14.15,7.52,0.99,75130.0,103630195.65,11.32,14.15,12.66,12.67,13.16,1.67,28.01,48.34,3.02,1336467500.0,379484605.0,0.28,0.57,9.95,15.51
121,301388,欣灵电气,19.9,7.51,1.39,30698.0,59775634.94,7.67,19.92,18.5,18.5,18.51,2.32,11.99,43.37,2.08,2038707240.0,509676810.0,0.15,0.66,-17.77,-18.41
122,002125,湘潭电化,10.49,7.48,0.73,367798.0,378475265.34,8.5,10.6,9.77,9.77,9.76,2.51,5.84,18.56,2.37,6603263169.0,6603263169.0,0.19,0.1,-1.04,-1.87
123,300109,新开源,21.85,7.48,1.52,185211.0,390835173.68,8.36,21.9,20.2,20.2,20.33,1.72,6.5,13.72,1.97,7048850138.0,6230570850.0,0.0,0.28,21.05,21.12
124,603969,银龙股份,6.33,7.47,0.44,720803.0,452096815.0,10.02,6.48,5.89,5.92,5.89,3.11,8.61,34.36,2.47,5410656120.0,5299792500.0,0.32,-0.16,8.76,5.5
125,301023,江南奕帆,32.89,7.45,2.28,13584.0,44028479.16,8.92,33.2,30.47,30.5,30.61,1.23,5.7,35.96,2.3,1841848223.0,783305543.0,0.0,0.12,-20.86,-20.75
126,301141,中科磁业,55.98,7.45,3.88,89274.0,485628803.39,17.14,58.98,50.05,51.19,52.1,1.61,31.85,97.58,3.94,4959532314.0,1569190886.0,0.04,-0.02,24.37,20.28
127,688598,金博股份,51.0,7.44,3.53,31266.0,155048961.0,7.9,51.2,47.45,47.47,47.47,1.31,2.27,34.53,1.16,7019141271.0,7019141271.0,-0.08,-0.04,-22.61,-27.04
128,301292,海科新源,17.5,7.43,1.21,74022.0,127753692.89,7.67,17.56,16.31,16.42,16.29,1.33,16.39,46.34,1.23,3901855615.0,790373763.0,0.23,0.23,-9.98,-10.26
129,300733,西菱动力,10.29,7.41,0.71,54231.0,54663486.4,9.19,10.45,9.57,9.57,9.58,2.08,2.4,-201.69,1.87,3145408921.0,2323819337.0,0.0,-0.1,-13.31,-14.53
130,603193,润本股份,16.85,7.32,1.15,68193.0,112147102.0,8.85,16.98,15.59,15.59,15.7,2.88,11.58,28.29,3.63,6817397341.0,991866741.0,-0.24,-0.06,-7.37,-7.32
131,300174,元力股份,17.92,7.31,1.22,213407.0,376312615.9,10.18,18.05,16.35,16.35,16.7,1.38,5.86,27.96,2.15,6556083251.0,6531543639.0,0.17,0.11,11.65,11.93
132,603990,麦迪科技,10.9,7.28,0.74,116370.0,123541144.0,10.53,11.03,9.96,10.16,10.16,1.94,4.18,-27.2,2.63,3338481768.0,3034675071.0,-0.09,0.0,-12.1,-15.63
133,688179,阿拉丁,16.09,7.27,1.09,48556.0,76768907.0,9.87,16.38,14.9,14.9,15.0,1.34,2.45,37.14,3.24,3187926390.0,3187926390.0,0.25,0.12,-13.63,-16.02
134,688201,信安世纪,15.26,7.24,1.03,92505.0,137810906.0,7.59,15.35,14.27,14.51,14.23,0.82,9.82,300.73,2.38,3280976468.0,1437874706.0,0.39,0.53,-19.0,-22.46
135,300769,德方纳米,41.26,7.22,2.78,209299.0,861345157.93,9.49,42.0,38.35,38.35,38.48,1.62,8.34,-8.67,1.49,11521537174.0,10352200099.0,0.05,0.1,-26.56,-32.39
