序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,835508,殷图网联,18.57,29.95,4.28,81348.0,137388696.12,31.91,18.57,14.01,14.01,14.29,1.46,31.24,-398.35,4.42,928500000.0,483516375.0,0.0,1.2,24.46,36.75
2,831152,昆工科技,12.83,26.16,2.66,33899.0,39795504.56,26.35,13.0,10.32,10.6,10.17,7.17,4.05,85.34,3.11,1393231511.0,1073710304.0,0.0,-0.16,-26.98,-26.05
3,300590,移为通信,10.78,20.04,1.8,204598.0,214608455.47,8.69,10.78,10.0,10.0,8.98,3.05,5.79,33.7,2.8,4945983766.0,3807512041.0,0.0,0.0,-9.49,-10.24
4,301150,中一科技,33.4,20.01,5.57,76265.0,249494310.81,16.35,33.4,28.85,28.85,27.83,3.58,11.22,82.6,1.18,4386321466.0,2270882800.0,0.0,0.0,3.6,0.42
5,301511,德福科技,27.17,20.01,4.53,190011.0,503406917.5,20.63,27.17,22.5,22.51,22.64,1.26,29.97,123.23,2.91,12232749100.0,1722732570.0,0.0,0.0,20.17,17.16
6,688356,键凯科技,85.48,20.01,14.25,14193.0,113085824.0,17.2,85.48,73.23,74.5,71.23,4.88,2.34,42.22,4.03,5181344556.0,5181344556.0,0.0,0.0,-14.52,-19.66
7,688573,信宇人,24.6,20.0,4.1,54886.0,125838340.0,20.98,24.6,20.3,20.51,20.5,2.11,26.42,38.86,2.56,2404757945.0,511011101.0,0.0,0.0,-11.92,-17.45
8,301238,瑞泰新材,26.28,20.0,4.38,773342.0,1857863859.0,19.54,26.28,22.0,22.0,21.9,1.67,36.25,38.85,2.67,19271999124.0,5606399124.0,0.0,0.0,53.06,49.91
9,300890,翔丰华,42.0,20.0,7.0,251330.0,1000983073.82,15.51,42.0,36.57,36.57,35.0,1.12,25.81,38.35,2.67,4592126322.0,4089045660.0,0.0,0.0,24.33,21.46
10,300127,银河磁体,18.92,19.97,3.15,367018.0,659472232.98,21.56,18.92,15.52,15.6,15.77,4.99,15.9,37.98,4.27,6113929131.0,4367041369.0,0.0,0.0,11.95,9.3
