000001,4,4
000002,3,3
000004,9,8
000005,1,2
000006,6,8
000007,4,6
000008,11,8
000009,3,5
000010,2,5
000011,6,5
000012,4,12
000014,5,7
000016,8,5
000017,6,6
000019,5,9
000020,5,7
000021,9,7
000023,6,6
000025,7,8
000026,3,8
000027,4,10
000028,3,7
000029,15,8
000030,3,9
000031,8,6
000032,6,7
000034,6,10
000035,5,5
000036,1,7
000037,7,5
000038,1,0
000039,4,6
000040,1,6
000042,7,5
000045,7,9
000046,2,2
000048,5,8
000049,6,5
000050,5,6
000055,6,6
000056,5,4
000058,6,7
000059,7,6
000060,4,7
000061,6,8
000062,5,7
000063,2,7
000065,3,8
000066,4,8
000068,8,7
000069,5,3
000070,3,6
000078,8,5
000088,7,7
000089,8,9
000090,5,5
000096,11,9
000099,2,9
000100,6,8
000150,0,0
000151,9,9
000153,7,7
000155,2,6
000156,9,9
000157,3,7
000158,4,7
000159,8,9
000166,6,8
000301,4,7
000333,3,7
000338,2,8
000400,4,6
000401,6,6
000402,2,3
000403,5,5
000404,5,6
000407,11,9
000408,5,6
000409,6,10
000410,9,5
000411,6,8
000413,1,5
000415,2,8
000416,3,5
000417,7,8
000419,6,8
000420,7,3
000421,2,8
000422,4,5
000423,6,7
000425,4,7
000426,5,11
000428,8,9
000429,10,9
000430,10,10
000488,6,5
000498,7,6
000501,7,5
000503,8,5
000504,7,10
000505,5,5
000506,5,4
000507,9,8
000509,6,8
000510,5,4
000513,5,11
000514,11,4
000516,5,2
000517,9,7
000518,1,9
000519,1,6
000520,4,5
000521,0,5
000523,4,7
000524,10,13
000525,5,7
000526,7,8
000528,3,5
000529,4,7
000530,15,7
000531,3,6
000532,6,8
000533,10,8
000534,2,8
000536,4,5
000537,7,7
000538,9,8
000539,4,5
000540,0,0
000541,9,8
000543,6,10
000544,9,8
000545,1,8
000546,0,6
000547,5,7
000548,8,10
000550,10,7
000551,7,8
000552,11,8
000553,4,4
000554,8,12
000555,6,8
000557,7,9
000558,3,8
000559,3,7
000560,4,9
000561,9,6
000563,10,9
000564,5,7
000565,3,5
000566,5,7
000567,1,4
000568,1,4
000570,7,6
000571,5,7
000572,9,6
000573,10,5
000576,6,8
000581,3,6
000582,5,11
000584,3,3
000586,8,10
000587,0,0
000589,3,5
000590,12,10
000591,7,5
000592,3,7
000593,6,6
000595,8,7
000596,3,6
000597,6,10
000598,8,9
000599,6,9
000600,2,3
000601,10,9
000603,5,5
000605,4,6
000606,0,0
000607,5,11
000608,7,5
000609,6,6
000610,10,11
000612,6,6
000615,5,3
000616,0,0
000617,7,7
000619,4,6
000620,2,8
000622,6,7
000623,7,10
000625,10,5
000626,9,6
000627,5,5
000628,5,6
000629,3,6
000630,2,6
000631,3,6
000632,6,5
000633,7,5
000635,3,9
000636,3,11
000637,1,9
000638,6,6
000639,4,5
000650,2,8
000651,3,7
000652,16,7
000655,4,8
000656,4,4
000657,8,2
000659,6,3
000661,2,3
000663,6,4
000665,6,6
000666,2,4
000667,0,0
000668,10,7
000669,11,10
000670,7,7
000671,0,0
000672,7,4
000676,4,9
000677,8,9
000678,8,7
000679,4,7
000680,7,7
000681,1,11
000682,10,8
000683,7,7
000685,7,8
000686,10,8
000688,2,3
000690,4,5
000691,4,6
000692,7,5
000695,6,3
000697,6,9
000698,3,7
000700,3,8
000701,9,10
000702,7,5
000703,6,6
000705,5,10
000707,6,6
000708,9,3
000709,5,7
000710,4,8
000711,7,10
000712,5,6
000713,7,6
000715,5,8
000716,7,4
000717,5,8
000718,2,4
000719,3,9
000720,5,4
000721,5,7
000722,10,7
000723,7,6
000725,5,6
000726,10,9
000727,5,6
000728,6,9
000729,7,8
000731,11,8
000732,0,0
000733,8,4
000735,9,8
000736,9,8
000737,5,10
000738,4,6
000739,3,5
000750,7,8
000751,10,7
000752,3,8
000753,6,8
000755,4,8
000756,7,5
000757,5,8
000758,5,7
000759,8,5
000761,11,7
000762,6,4
000766,4,8
000767,9,6
000768,10,9
000776,8,6
000777,4,10
000778,6,8
000779,5,7
000782,6,10
000783,8,7
000785,4,7
000786,1,4
000788,9,8
000789,1,2
000790,8,7
000791,7,6
000792,2,4
000793,9,7
000795,3,6
000796,11,7
000797,17,6
000798,5,9
000799,3,3
000800,12,7
000801,6,8
000802,4,4
000803,3,5
000806,0,0
000807,4,5
000809,6,6
000810,5,5
000811,8,5
000812,9,6
000813,4,8
000815,11,9
000816,7,7
