序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
5090,300480,光力科技,15.12,-0.85,-0.13,79860.0,121297837.75,3.02,15.48,15.02,15.35,15.25,0.53,3.22,-73.87,3.98,5333896583.0,3744966960.0,0.0,0.13,14.55,-29.01
5091,002490,ST墨龙,2.31,-0.86,-0.02,227935.0,53203445.4,3.43,2.38,2.3,2.33,2.33,1.39,4.21,5.42,3.1,1843029804.0,1251136136.0,0.0,0.0,8.45,-49.12
5092,600645,中源协和,21.88,-0.86,-0.19,116962.0,255415899.0,2.22,22.09,21.6,22.0,22.07,0.83,2.5,60.1,2.84,10238721713.0,10234811210.0,-0.05,0.23,40.08,7.94
5093,301188,力诺特玻,16.1,-0.86,-0.14,116472.0,183579167.94,3.94,16.15,15.51,15.9,16.24,0.98,7.72,39.83,2.58,3742453372.0,2427911025.0,0.12,0.0,31.75,-9.5
5094,002449,国星光电,8.01,-0.87,-0.07,243570.0,193902566.96,2.6,8.06,7.85,7.94,8.08,1.23,3.95,55.7,1.29,4954002124.0,4938116051.0,0.13,0.0,22.1,-14.88
5095,601601,中国太保,38.66,-0.87,-0.34,248214.0,962321973.0,2.15,39.28,38.44,38.99,39.0,0.59,0.36,7.4,1.39,371922400650.0,264629302650.0,0.0,0.05,34.7,69.86
5096,601088,中国神华,40.93,-0.87,-0.36,191066.0,783650868.0,1.36,41.37,40.81,41.29,41.29,0.64,0.12,13.24,1.96,813218521758.0,674978183498.0,-0.15,-0.12,-1.99,40.7
5097,603977,国泰集团,12.5,-0.87,-0.11,108736.0,134296420.0,3.01,12.58,12.2,12.5,12.61,0.78,1.75,26.65,2.38,7765522850.0,7765522850.0,0.08,0.24,35.87,21.95
5098,003023,彩虹集团,18.18,-0.87,-0.16,36795.0,66672640.06,1.85,18.28,17.94,18.0,18.34,1.01,7.03,20.11,1.27,1915110288.0,951377235.0,0.28,0.17,21.69,-8.46
5099,600498,烽火通信,18.16,-0.87,-0.16,521321.0,937844093.0,3.06,18.33,17.77,18.32,18.32,1.2,4.54,41.03,1.7,21528532105.0,20871637144.0,0.0,0.22,20.19,9.99
5100,300607,拓斯达,12.42,-0.88,-0.11,146301.0,178888060.32,4.23,12.46,11.93,11.93,12.53,1.31,5.12,438.55,2.3,5276391382.0,3546503664.0,0.0,0.0,6.15,-20.54
5101,601229,上海银行,7.86,-0.88,-0.07,307301.0,242334086.0,1.26,7.95,7.85,7.93,7.93,0.6,0.22,4.31,0.5,111664451344.0,108842312701.0,-0.25,-0.25,4.94,42.65
5102,600479,千金药业,11.21,-0.88,-0.1,59000.0,66133352.0,1.41,11.31,11.15,11.2,11.31,0.81,1.41,20.19,2.01,4753007682.0,4691464782.0,0.09,0.09,15.33,7.58
