date,code,price,average,ang
20240612,600765,20.19,0,5.674668426830878
20240612,001301,49.18,0,9.341993285760946
20240612,301358,40.64,0,7.75708896423218
20240612,300733,11.85,0,10.826488536817932
20240612,001696,13.37,0,6.799099168885796
20240612,600246,9.09,0,8.688054895263095
20240612,600774,10.45,0,12.240711207327347
20240612,300580,27.0,0,6.066407685415471
20240612,603678,25.76,0,5.001560948683985
20240612,002496,3.23,0,6.666500211288587
20240612,688180,30.28,0,5.2513677103860505
20240612,002485,2.91,0,12.798049826260506
20240612,300270,6.12,0,6.421693843309377
20240612,300604,32.06,0,5.419914945149535
20240612,688126,15.09,0,8.029486252384634
20240612,688319,10.45,0,10.924827275926424
20240612,603667,19.0,0,6.824503039228124
20240612,300014,40.75,0,8.149463965684335
20240612,300822,13.62,0,6.41362724340026
20240612,300855,27.27,0,5.34485035878734
20240612,300656,21.81,0,11.86441279679356
20240612,300831,12.63,0,7.487117200175815
20240612,603767,13.45,0,5.3020090159741
20240612,300593,11.74,0,10.038518718158622
20240612,300398,14.3,0,6.180513584093991
20240612,603105,11.02,0,9.537226497462056
20240612,603009,20.4,0,9.363331186293674
20240612,688608,136.68,0,5.400318144065711
20240612,688123,59.19,0,8.5593870127317
20240612,688107,27.07,0,7.735132271303073
20240612,603267,37.04,0,5.2607380512085795
20240612,301192,17.7,0,5.9878680461628075
20240612,688575,25.5,0,6.615971988432498
20240612,300726,26.22,0,6.12529666980927
20240612,300666,52.38,0,8.037568944755566
20240612,300965,29.14,0,5.738872830370716
20240612,300236,34.45,0,5.478755225542849
20240612,300623,18.64,0,7.352588958985421
20240612,300671,26.31,0,7.197796517234999
20240612,300672,63.63,0,16.469883652597012
20240612,301036,30.0,0,7.760973770408452
20240612,688549,7.29,0,5.277299257808062
20240612,603650,33.1,0,7.118773363401951
20240612,300647,5.69,0,7.810675175260186
20240612,688409,68.33,0,6.213243622522589
20240612,300613,34.6,0,6.812775850211853
20240612,688506,204.17,0,9.923444106208064
20240612,003026,35.89,0,15.30172094161611
20240612,688268,54.21,0,5.456603643319683
20240612,688578,62.68,0,6.817955973129616
20240612,688223,8.62,0,6.1435424824642535
20240612,002149,15.66,0,5.904519351581093
20240612,301282,20.81,0,8.788473243909632
20240612,600830,7.22,0,7.137910476395134
20240612,603838,5.98,0,9.062105351993162
20240612,605358,25.25,0,10.693836939543466
20240612,688347,37.7,0,9.089549377013453
20240612,603530,29.04,0,10.382631770924343
20240612,603078,13.95,0,7.716415614757049
20240612,301418,43.65,0,5.817921018276745
20240612,300046,20.11,0,23.9652334669656
20240612,688192,42.61,0,5.028218081985535
20240612,300421,10.84,0,5.235615679088806
20240612,301421,53.38,0,9.133533294290395
20240612,688630,69.28,0,6.452090602369469
20240612,000525,6.08,0,5.446819558906034
20240612,688385,33.96,0,9.627825976001752
20240612,000636,13.02,0,5.608279289823532
20240612,300700,9.29,0,7.962271448503157
20240612,301127,11.89,0,6.413412432690039
20240612,601933,2.67,0,7.054734349137564
20240612,603836,15.67,0,11.43473506675202
20240612,002856,9.87,0,8.796224121986358
20240612,002977,30.45,0,5.145634790860588
20240612,000829,8.69,0,9.408002918166954
20240612,301550,47.91,0,14.71747105072701
20240612,301368,50.95,0,7.301186513097213
20240612,688361,59.53,0,7.284672938748576
20240612,002156,24.39,0,6.996197162952721
20240612,688286,44.5,0,13.024337388622051
20240612,300918,10.96,0,13.494621024238933
20240612,301106,31.62,0,10.158725030884835
20240612,300458,21.08,0,7.999696019731645
20240612,002938,32.65,0,6.8659216446722855
20240612,300049,52.66,0,5.097050963012159
20240612,600171,19.33,0,23.42220640001951
20240612,300936,38.48,0,8.714920403367092
20240612,300395,33.88,0,6.870604720185148
20240612,300576,40.61,0,11.263251538638848
20240612,600992,15.84,0,12.360437827541384
20240612,002676,5.2,0,5.113473402270041
20240612,688037,109.28,0,11.297918451755157
20240612,301512,52.07,0,5.374761655180835
20240612,301251,33.54,0,5.923325842893274
20240612,688521,33.37,0,12.350328373197069
20240612,300346,31.34,0,11.016005463716755
20240612,300423,6.15,0,8.616563122538205
20240612,300655,8.12,0,6.122118206206846
20240612,300643,12.37,0,10.232476087913527
20240612,002815,9.25,0,5.243619644479862
20240612,605258,41.83,0,28.377305945700925
20240612,002025,49.05,0,6.0959915669543765
20240612,300906,23.75,0,10.89521853423674
20240612,300739,14.67,0,11.329204515730533
20240612,301255,35.5,0,11.725313505783541
20240612,688282,26.11,0,6.2301936937006674
20240612,605058,21.8,0,7.853521336342728
20240612,002338,31.35,0,5.830761450578864
20240612,605598,22.12,0,7.459326659485444
20240612,002655,11.07,0,6.464139227117002
20240612,688120,203.2,0,7.331357957667189
20240612,300650,11.01,0,10.290738697127887
20240612,002124,2.65,0,6.840113643414319
20240612,002579,8.16,0,8.462262033486898
20240612,600996,8.63,0,16.203193142510504
20240612,600161,31.53,0,7.148604084081286
20240612,600501,15.29,0,14.519044539267007
20240612,000726,7.19,0,8.457981967732694
20240612,000021,15.85,0,9.967198122350396
20240612,600760,41.83,0,5.453693034546512
20240612,002077,13.82,0,5.927759315446351
20240612,300455,13.0,0,14.438536437296777
20240612,600653,1.53,0,10.175149004437479
20240612,002050,23.8,0,6.965846055164373
20240612,688297,37.1,0,5.294349045425983
20240612,301099,47.19,0,6.70211279746166
20240612,688326,62.49,0,8.689847293138683
20240612,300416,14.44,0,6.6010624848237915
20240612,600584,28.84,0,8.841437366925485
20240612,300852,26.41,0,8.837401262009756
20240612,600312,15.84,0,6.39990759401469
20240612,603160,64.45,0,5.803850703204657
20240612,300342,15.34,0,8.326327613380945
20240612,688981,47.9,0,7.908209683360121
20240612,301041,26.77,0,10.010214416687969
20240612,300496,54.19,0,6.820173985250696
20240612,688469,4.11,0,6.414934165579583
20240612,688213,49.12,0,6.223173527717623
20240612,688652,44.7,0,6.269761470764077
20240612,605111,41.9,0,6.810602248652073
20240612,301269,85.15,0,5.341431724868095
20240612,688082,83.8,0,5.584380575584071
20240612,688270,32.29,0,5.050748179217078
20240612,002997,30.63,0,7.639097163466275
20240612,000403,29.53,0,6.541487174898202
20240612,600435,10.12,0,5.813684555280587
20240612,002654,12.8,0,15.706693875326394
20240612,300736,16.5,0,9.258183374499456
20240612,002594,242.9,0,9.707703344881018
20240612,688691,57.5,0,9.614708257685134
20240612,301176,23.84,0,33.8793195333153
20240612,300476,29.73,0,7.447973775810358
20240612,000519,15.53,0,9.501240060489252
20240612,301042,37.0,0,5.478127923296126
20240612,003021,53.07,0,6.359202972881569
20240612,001286,12.25,0,6.610168373360905
20240612,000400,31.63,0,5.665062087640611
20240612,003043,41.35,0,5.493046678707658
20240612,603920,19.69,0,5.804441544282094
20240612,600895,21.07,0,7.903016232153975
20240612,002749,17.94,0,6.9950266946333315
20240612,688052,100.15,0,7.761727901759556
20240612,002371,325.04,0,6.142484466310148
20240612,600795,5.96,0,6.10886971928687
20240612,301566,18.65,0,7.724346805236193
20240612,002356,3.81,0,7.169149791615487
20240612,002179,38.21,0,5.114373108477431
20240612,605090,29.57,0,7.408873571382558
20240612,300637,10.65,0,8.355337211683642
20240612,688012,145.13,0,7.346896331208262
20240612,600025,10.66,0,5.983661230745433
20240612,601019,13.7,0,6.6131571921072245
20240612,603283,81.49,0,9.707792814386538
20240612,301536,39.29,0,5.362846241513058
20240612,603776,11.12,0,6.432310430564499
20240612,300814,32.83,0,8.2514299585091
20240612,300293,16.46,0,10.5743891953161
20240612,301308,94.68,0,6.43529506502512
20240612,600039,8.4,0,5.569596229291209
20240612,301132,23.78,0,10.16964892389455
20240612,301587,31.01,0,5.097864496783713
20240612,600803,20.61,0,6.4976158585036075
20240612,000528,11.67,0,5.238165212787551
20240612,688143,24.71,0,6.619483348407927
20240612,688183,20.14,0,12.494690348632476
