序号,日期,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业
103,20240527,301182,凯旺科技,-13.021868705749512,17.5,24.14,206929814,629504750.0,1676879750.0,30.9318904876709,0.0,1,4.1260528564453125,2/1,1,消费电子
104,20240527,301389,隆扬电子,-15.234720230102539,19.14,27.1,932245392,1570954679.5800002,5426190000.0,56.43817901611328,0.0,0,1.9729835987091064,3/2,2,电子元件
1,20240528,300637,扬帆新材,20.047170639038086,10.18,10.18,608630832,2384197432.6,2389756323.4,26.591598510742188,0.0,0,8.758846282958984,2/2,2,电子化学
2,20240528,300215,电科院,19.966997146606445,7.27,7.27,740617696,5020074489.49,5445914775.84,15.30003547668457,0.0,1,4.048916339874268,1/1,1,专业服务
3,20240528,837046,亿能电力,18.042226791381836,12.3,13.54,115154866,391656046.5,888675000.0,32.50638961791992,1.1513158082962036,1,3.4520654678344727,0/0,1,电网设备
4,20240528,300670,大烨智能,17.887563705444336,6.92,7.04,396271632,1550942889.4,2193089721.6,25.79328155517578,0.0,1,9.516027450561523,0/0,1,电网设备
5,20240528,300040,九洲集团,14.556041717529297,7.87,8.24,1002230112,3625490017.25,4625250627.2,29.556703567504883,0.0,1,3.8499107360839844,0/0,1,电网设备
6,20240528,688102,斯瑞新材,12.683823585510254,12.26,13.06,224060394,3951171263.56,6865771640.0,5.770997047424316,-0.6482982039451599,1,8.458576202392578,0/0,1,有色金属
7,20240528,600969,郴电国际,10.060060501098633,7.33,7.33,92976300,2712470047.72,2712470018.4,3.4277355670928955,0.0,1,8.2339448928833,3/3,3,电力行业
8,20240528,603068,博通集成,10.019880294799805,27.67,27.67,497499392,4162258809.2200003,4162258809.2200003,12.070752143859863,0.0,1,6.986005783081055,3/3,3,半导体
9,20240528,603097,江苏华辰,10.01675033569336,32.84,32.84,278343552,1313600000.0000002,5254400000.000001,21.772750854492188,0.0,1,2.793179988861084,1/1,1,电网设备
10,20240528,002719,麦趣尔,10.0,7.59,7.59,75258484,1228610719.05,1321718478.6299999,6.208906650543213,0.0,0,1.8333408832550049,3/2,2,食品饮料
11,20240528,002395,双象股份,9.993868827819824,17.94,17.94,467196720,4811669460.0,4811669460.0,9.963708877563477,0.0,0,4.26962947845459,2/2,2,塑料制品
12,20240528,600101,明星电力,9.993012428283691,15.74,15.74,1429472928,6633350225.8,6633350257.28,22.698850631713867,0.0,1,2.5162124633789062,3/2,3,电力行业
13,20240528,603530,神马电力,9.991909980773926,27.19,27.19,356262144,11691198670.78,11753239888.32,3.1718103885650635,0.0,1,4.497685432434082,2/2,3,电网设备
14,20240528,600719,大连热电,9.990663528442383,11.78,11.78,718603872,4766183288.0,4766183288.0,15.523553848266602,0.0,1,4.047125816345215,3/3,3,电力行业
15,20240528,601020,华钰矿业,9.985836029052734,15.53,15.53,952722656,12226862428.48,12226862428.48,7.908169269561768,0.0,1,2.105340003967285,2/2,3,有色金属
16,20240528,002922,伊戈尔,9.211126327514648,23.95,24.12,506130704,8925830849.6,9383171619.199999,6.046795845031738,0.9270964860916138,1,2.222764730453491,0/0,1,电子元件
17,20240528,600301,华锡有色,8.61244010925293,20.43,20.69,487796336,5625107962.83,12923353452.96,8.834914207458496,0.14705882966518402,1,4.4524617195129395,0/0,1,小金属
18,20240528,301106,骏成科技,8.47391128540039,27.65,30.59,94244785,806974485.0999999,2809829912.75,11.462058067321777,0.0,1,9.643428802490234,0/0,1,光学光电
19,20240528,300623,捷捷微电,8.210783958435059,17.66,19.58,551395232,11840504350.1,13002540632.64,4.693675994873047,0.0,1,10.335079193115234,0/0,1,半导体
20,20240528,688226,威腾电气,8.163265228271484,21.73,24.11,86624704,1842019070.4,3400885810.4,4.884986877441406,0.36951500177383423,1,2.6324057579040527,0/0,1,电网设备
21,20240528,300576,容大感光,8.160920143127441,37.64,41.76,1753788640,6908099838.96,11130475618.56,25.7800350189209,0.0,1,9.323932647705078,2/1,1,电子化学
22,20240528,300831,派瑞股份,7.944732189178467,12.5,13.9,270211472,2306053000.0,4000000000.0,11.723406791687012,0.0,1,8.81729507446289,0/0,1,半导体
23,20240528,301361,众智科技,7.600149631500244,28.74,32.05,513381200,835874160.0,3343496640.0,61.02981185913086,0.0,1,6.9803466796875,3/2,3,电网设备
24,20240528,300697,电工合金,6.812842845916748,13.64,15.32,333182448,3475472000.0,4539392000.0,9.935582160949707,0.0,1,2.1251096725463867,0/0,1,有色金属
25,20240528,605162,新中港,6.430154800415039,9.6,9.92,437253744,974100393.5999999,3844702464.0,44.31037902832031,0.10427528619766235,1,19.404050827026367,3/2,3,公用事业
26,20240528,000426,兴业银锡,6.33608865737915,15.44,15.97,679949520,22818542269.28,28366247938.559998,3.026477575302124,-0.1939237266778946,1,2.188628673553467,0/0,1,有色金属
27,20240528,300982,苏文电能,5.792014122009277,24.11,27.35,327670592,4674860190.059999,4989929670.059999,7.209389686584473,0.0,1,3.5192384719848633,0/0,1,工程建设
28,20240528,300582,英飞特,5.666316986083984,10.07,11.44,152306685,2230451336.9700003,3009394687.52,6.902545928955078,0.0,1,5.672081470489502,0/0,1,光学光电
29,20240528,002155,湖南黄金,5.613851070404053,20.13,20.97,856744320,24194514064.71,24197054571.36,3.5649726390838623,-0.39584362506866455,1,2.293440341949463,0/0,1,贵金属
30,20240528,603650,彤程新材,4.909213066101074,31.2,32.71,1054987536,18535023405.6,18714771878.399998,5.625603199005127,0.4184100329875946,1,10.324892044067383,2/1,1,橡胶制品
31,20240528,000875,吉电股份,4.8333330154418945,6.29,6.6,1587511632,17548888020.71,17550409427.04,9.110786437988281,-0.1587301641702652,1,4.839197158813477,0/0,1,电力行业
32,20240528,002893,京能热力,4.82456111907959,11.95,12.54,268728992,2410885003.0499997,3150498000.0,11.381606101989746,0.25167784094810486,1,5.459615230560303,0/0,1,公用事业
33,20240528,300444,双杰电气,4.5392022132873535,7.6,8.72,484368960,4501486786.8,6069550668.8,10.99989128112793,0.0,1,2.2137911319732666,0/0,1,电网设备
34,20240528,002970,锐明技术,4.463000297546387,36.28,38.2,203306364,4057525232.7200003,6277854920.0,5.0651679039001465,-0.30228084325790405,1,3.3111650943756104,0/0,1,计算机设
35,20240528,300200,高盟新材,4.413619041442871,8.28,9.52,190002341,3509225675.2799997,3568458095.9999995,5.630651473999023,0.0,1,5.559066295623779,0/0,1,化学制品
36,20240528,300880,迦南智能,4.388559818267822,21.17,24.34,320756880,4110382442.4,4110954032.4,7.871993064880371,0.0,1,3.211817502975464,0/0,1,电网设备
37,20240528,002246,北化股份,4.325259685516357,12.06,12.72,916204736,6621359615.64,6621359688.0,14.050480842590332,-0.8223684430122375,1,2.3650894165039062,4/2,3,化学制品
38,20240528,301468,博盈特焊,4.252781867980957,26.23,30.19,56899954,865590000.0,3462360000.0,6.67678165435791,0.0,1,3.780994176864624,0/0,1,专用设备
39,20240528,300514,友讯达,4.1447367668151855,15.83,18.24,181613536,2458750426.0,3166000000.0,7.45278263092041,0.0,1,2.7491915225982666,0/0,1,电网设备
40,20240528,301046,能辉科技,4.087072372436523,23.43,27.01,118103330,1382195141.91,3507251624.91,8.472951889038086,0.0,1,2.530845880508423,0/0,1,光伏设备
41,20240528,002025,航天电器,4.046242713928223,46.8,49.48,194900317,21179856110.399998,21381527980.8,0.9304309487342834,-0.02136295661330223,1,2.7920384407043457,0/0,1,电子元件
42,20240528,301115,建科股份,3.9692699909210205,16.24,18.74,55859653,1714179972.9599998,3008427519.9999995,3.1931309700012207,0.0,1,8.56213665008545,0/0,1,专业服务
43,20240528,600575,淮河能源,3.9548020362854004,3.68,3.89,211378252,14301440719.2,14301440744.960001,1.4949742555618286,0.2724795639514923,1,1.9735348224639893,0/0,1,物流行业
44,20240528,002851,麦格米特,3.91117000579834,31.35,33.19,1369515664,12951712590.300001,15714198535.2,10.235349655151367,0.15974441170692444,1,2.8069233894348145,0/0,1,电源设备
45,20240528,301179,泽宇智能,3.8671023845672607,19.07,22.03,191459015,1595250714.97,6352834257.76,12.135010719299316,0.0,1,3.443965196609497,0/0,1,软件开发
46,20240528,600268,国电南自,3.6458332538604736,7.96,8.45,526446224,6641173039.16,6741299928.96,7.991211414337158,0.251889169216156,1,6.3800740242004395,2/1,1,电网设备
47,20240528,001286,陕西能源,3.564728021621704,11.04,11.73,481086848,11592000000.0,41400000000.0,4.1741814613342285,0.0,1,4.690907955169678,0/0,1,电力行业
48,20240528,601985,中国核电,3.2460734844207764,9.86,10.51,889095328,186189188788.62,186189190021.12,0.4834233224391937,0.10152284801006317,1,2.1461524963378906,0/0,1,电力行业
49,20240528,600550,保变电气,3.2397408485412598,4.78,5.09,307946544,8802506134.4,8802506134.4,3.5194764137268066,-0.4166666865348816,1,9.219059944152832,2/1,1,电网设备
50,20240528,601117,中国化学,3.166869640350342,8.47,9.03,794961168,51239354680.36,51747216998.4,1.5619984865188599,-0.1179245263338089,1,2.694403886795044,0/0,1,工程建设
51,20240528,688676,金盘科技,3.0161290168762207,63.87,74.4,265103645,28956405688.32,28956405688.32,0.9440345764160156,-0.15632326900959015,1,1.6365920305252075,0/0,1,电网设备
52,20240528,603507,振江股份,2.857142925262451,33.84,36.19,99983892,4806326806.56,4806326806.56,2.066479444503784,-0.2358490526676178,1,2.104912281036377,0/0,1,风电设备
53,20240528,600758,辽宁能源,2.6239066123962402,3.52,3.77,53601344,4649016746.88,4653501219.84,1.1502840518951416,-0.28328612446784973,1,3.1804563999176025,0/0,1,煤炭行业
54,20240528,001210,金房能源,2.5981523990631104,17.77,19.05,51204362,923042818.68,1935111986.84,5.568933010101318,-0.05624297261238098,1,3.9420924186706543,0/0,1,公用事业
55,20240528,000638,万方发展,2.5830256938934326,5.56,5.96,445077520,1724409541.56,1731309184.6399999,25.16811180114746,0.0,0,5.971624374389648,4/3,2,农牧饲渔
56,20240528,601919,中远海控,2.460106372833252,15.41,16.54,2183911616,196597803049.97,245906414807.04,1.1211919784545898,-0.5164622068405151,1,2.5385899543762207,0/0,1,航运港口
57,20240528,603931,格林达,2.452667713165283,23.81,25.56,140470354,4751485027.8,4751485027.8,2.9687843322753906,0.042016807943582535,1,3.3573570251464844,0/0,1,电子化学
58,20240528,600021,上海电力,2.4295432567596436,10.54,11.32,952299056,27584910636.379997,29688478049.92,3.497493267059326,0.09496676176786423,1,2.323275566101074,0/0,1,电力行业
59,20240528,301137,哈焊华通,2.265575885772705,16.25,19.07,91942421,1652654250.0,2954467750.0,5.640446662902832,0.0,1,2.747724771499634,0/0,1,通用设备
60,20240528,601016,节能风电,2.127659559249878,3.36,3.62,336246912,20024358107.04,21753349201.92,1.6821784973144531,0.0,1,3.497974395751953,0/0,1,电力行业
61,20240528,833455,汇隆活塞,2.040816307067871,4.5,5.73,11911223,228865765.5,798525000.0,5.218242645263672,-0.44247788190841675,1,2.1700024604797363,0/0,1,通用设备
